refuser_id,real_estate_alert_id,subscription_date,unsubscription_date,platform,distribution_type,estate_type,living_area_min,living_area_max,price_min,price_max,number_of_rooms,location_zipcodes,location_departement,gateway
8b27fa28-8a9f-4eff-b76c-34d0b4b1cb08,62901689,2021-08-09 15:41:00.000000,2021-09-16 12:59:39.000000,LOGICIMMO,BUY,{HOUSEORVILLA},0,1000,0,0,"{1,2,3,4,5}",,{02},
bff57401-a86b-4c88-80d5-36b4535a3275,61941749,2021-05-02 13:42:39.000000,,LOGICIMMO,RENT,,0,1000,0,650,"{1,2,3,4,5}","{66420,66430,66440}",,
07b68ac9-8d2a-4fa4-8f2d-5e80e7162155,62080746,2021-05-15 13:36:35.000000,,LOGICIMMO,RENT,,50,1000,0,700,"{1,2,3,4,5}",{31100},,
5f722584-f68f-4056-8da5-8e74b33f73fc,62010273,2021-05-08 17:41:01.000000,,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",{57580},,
3c3cb533-4984-4253-8647-c48c34b99f4f,63535003,2021-10-17 16:15:13.000000,,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",{14130},,
8d3130ba-c27b-4a40-b0dd-c050e32f2c25,62928505,2021-08-12 02:20:49.000000,,LOGICIMMO,RENT,"{APARTMENT,HOUSEORVILLA,LOFTORWORKSHOPORSURFACE}",0,1000,0,300,"{1,2,3,4,5}",{38000},,
66da5bde-c4bc-4997-ab2a-9546f654fe7d,63894314,2021-12-07 19:00:30.000000,2021-12-22 21:39:44.000000,LOGICIMMO,BUY,{APARTMENT},0,1000,0,250000,"{1,2,3,4,5}",,{92},
b713f185-a8d2-429d-b5f8-6a8609b8b2df,62270319,2021-06-04 11:55:35.000000,2021-06-22 21:42:49.000000,LOGICIMMO,RENT,,0,1000,0,700,"{1,2,3,4,5}",{31790},{31},
db495392-cd2b-43c2-946e-a0187d432ab4,61070677,2021-01-31 13:42:21.000000,,LOGICIMMO,RENT,,0,1000,0,0,"{1,2,3,4,5}",{31270},,
a49527c3-d4d0-40f1-ac65-0f612c734180,61590664,2021-03-29 18:57:48.000000,2021-05-16 16:39:24.000000,LOGICIMMO,RENT,{HOUSEORVILLA},90,10000,0,850,"{1,2,3,4,5}",,{33},
6edb502c-bf4c-403d-8590-f9d230d967d9,63655787,2021-11-02 15:39:40.000000,2021-11-03 17:34:54.000000,LOGICIMMO,BUY,{HOUSEORVILLA},0,1000,0,0,"{1,2,3,4,5}",,{94},
e50ca45c-2021-4176-9704-423bb69565a4,62398409,2021-06-18 19:16:50.000000,,LOGICIMMO,BUY,{HOUSEORVILLA},0,1000,0,100000,"{1,2,3,4,5}",{66680},,
4b3cc9e0-eaa7-4cf2-be5e-6b31bde7c02e,63359272,2021-09-24 19:00:46.000000,,LOGICIMMO,RENT,,35,1000,0,600,"{1,2,3,4,5}",{33000},,
ccb659a6-4178-48fe-8cf5-869437c91de5,61045079,2021-01-28 13:43:55.000000,2021-07-30 08:23:50.000000,LOGICIMMO,RENT,,0,10000,0,2000000000,"{1,2,3,4,5}",{66700},,
446cab71-987c-4182-b20d-62cb2992e862,62849777,2021-08-04 13:08:46.000000,2021-12-29 10:09:27.000000,LOGICIMMO,BUY,{HOUSEORVILLA},60,1000,0,330000,"{1,2,3,4,5}","{33360,33370,33880}",,
777ffe86-7d45-4883-acca-4c758cc26899,63523035,2021-10-15 19:40:57.000000,2021-10-31 15:06:51.000000,LOGICIMMO,RENT,,0,1600,0,1600,"{1,2,3,4,5}",{75005},,
f2901b90-7fd7-4d12-b62c-1e26e3266279,62925065,2021-08-11 17:35:21.000000,,LOGICIMMO,RENT,"{APARTMENT,HOUSEORVILLA}",120,1000,0,200,"{1,2,3,4,5}",,{69},
45559597-83de-488c-8aa7-2d74fac4f438,61142847,2021-02-08 10:42:06.000000,2021-12-03 15:54:39.000000,LOGICIMMO,BUY,{HOUSEORVILLA},0,10000,220000,250000,"{1,2,3,4,5}",{26330},,
c3dc52a8-5a0e-40d6-98d6-350c5e18ca5f,62060590,2021-05-13 13:05:40.000000,,LOGICIMMONEUF,NEWSELL,,,,,,"{1,2,3,4,5}",{92390},,
35ee27c9-bb8c-4d65-aa0d-2e2c26d4e090,62787032,2021-07-28 22:34:56.000000,,LOGICIMMO,BUY,{APARTMENT},0,1000,115020,250000,"{1,2,3,4,5}","{17110,17200,17420}",,
4a39d7e2-b168-4ccd-bd13-b414beb53d18,61501865,2021-03-20 09:47:07.000000,2021-11-09 16:53:30.000000,LOGICIMMONEUF,NEWSELL,{APARTMENT},,,,120000,"{1,2,3,4,5}","{21000,21600,21800}",,
c9fe2aa2-17cc-45c4-b570-55b20882477d,61055121,2021-01-29 16:58:19.000000,,LOGICIMMO,BUY,{APARTMENT},45,1000,0,160000,"{1,2,3,4,5}",{78200},,
